CEOM580813D40,JUAN HERNANDEZ,4426389952,CHAPULINES 43,LOS ARCOS,76800,QUERETARO
CEOM580813D41,FRANCISCO HERRERA,4426389940,LOS ARCOS 89,LAS AMERICAS,76500,COLON
CEOM580813D42,DAVID CARRIZO,4426389941,LA LLAVE 97,Arboledas,76025,QUERETARO
CEOM580813D43,PEDRO PEREZ,4426389942,ABISMOS 66,Arboledas del Parque,76423,COLON
CEOM580813D44,RICARDO CORTES,4426389943,JUAREZ 33,Arboledas del Río,76535,COLON
CEOM580813D45,ELENA SILCA,4426389944,LOS PUENTES 323,Arquitos,76800,SAN JUAN DEL RIO
CEOM580813D46,JAIME HERNANDEZ,4426389945,LAS HADAS 22,Arte Mexicano,76500,QUERETARO
CEOM580813D47,PERLA TOVAR,4426389946,MAR MEDITERRANEO 01,Asalias,76025,QUERETARO
CEOM580813D48,NATALIA HERNANDEZ,4426389947,LA SILLA 43,Club Campestre,76423,SAN JUAN DEL RIO
CEOM580813D49,PATRICIA TAMAYO,4426389948,HERMES 22,Colibri,76535,QUERETARO
CEOM580813D50,FRIDA ELENA,4426389949,CARRANZA 323,Colinas del Cimatario,76800,EL MARQUES
CEOM580813D51,JIMENO PELAEZ,4426389950,LA LUNA 324,Colinas del Parque,76500,EL MARQUES
CEOM580813D52,ROBERTO GARCIA,4426389951,SOR JUANA 34,Colinas del Poniente,76025,EL MARQUES
CEOM580813D53,ALEJANDRO BLANCO,4426389952,LA NORTEADA 98,Colinas del Sur,76423,EL MARQUES
CEOM580813D54,RAMON FERNANDEZ,4426389953,SANTORAL 76,El Arco,76535,QUERETARO
CEOM580813D55,JAMES RODRIGUEZ,4426389954,TECNOLOGIA 56,El Bosque,76800,QUERETARO
CEOM580813D56,ANTONIO GRIS,4426389955,GLOBO 23,El Campanario,76500,SAN JUAN DEL RIO
CEOM580813D57,MOCTEZUMA BLANCO,4426389956,EL MARQUEZ 98,El Carrizal,76025,QUERETARO
CEOM580813D58,RAFAEL MARQUEZ,4426389957,JURADO 71,El Cerrito,76423,QUERETARO
CEOM580813D59,SANTIAGO PUENTE,4426389958,HERCULES 22,El Chamizal,76535,QUERETARO
